Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
COALINDIA,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",2.62,0.73,No,No harsh condition recovery
LODHA,Not ascending,"Dec 2024, Mar 2025",57.84,"Mar 2024, Mar 2025",3.45,33.58,No,No harsh condition recovery
TEJASNET,Not ascending,"Dec 2024, Mar 2025",-20200.0,"Mar 2024, Mar 2025",Not ascending,261.11,No,No harsh condition recovery
SYNGENE,45.13,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",7.84,4.39,No,No harsh condition recovery
TIMETECHNO,1.01,"Sep 2024, Dec 2024",20.2,"Mar 2024, TTM",1.24,7.83,No,No harsh condition recovery
MARATHON,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",21.14,Not ascending,No,No harsh condition recovery
EKC,6.25,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",14.99,22.57,No,No harsh condition recovery
VESUVIUS,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Dec 2024, TTM",Not ascending,1.5,No,No harsh condition recovery
VPRPL,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,1.09,No,No harsh condition recovery
ICRA,35.29,"Sep 2024, Dec 2024",6.49,"Mar 2024, TTM",Not ascending,8.97,No,No harsh condition recovery
NUCLEUS,152.63,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",11.17,0.73,No,No harsh condition recovery
SBCL,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,Not ascending,No,No harsh condition recovery
DHANI,Not ascending,"Dec 2024, Mar 2025",-59.8,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,No harsh condition recovery
SANGHIIND,Not ascending,"Dec 2024, Mar 2025",-11.11,"Mar 2024, Mar 2025",29.34,18.03,No,No harsh condition recovery
GRANULES,19.15,"Sep 2024, Dec 2024",15.63,"Mar 2024, TTM",17.68,Not ascending,No,No harsh condition recovery
GUJGASLTD,30.67,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,5.08,No,No harsh condition recovery
DEEPINDS,Not ascending,"Dec 2024, Mar 2025",47.37,"Mar 2024, Mar 2025",7.74,34.89,No,No harsh condition recovery
CIPLA,Not ascending,"Dec 2024, Mar 2025",22.35,"Mar 2024, Mar 2025",Not ascending,6.88,No,No harsh condition recovery
SHOPERSTOP,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,7.2,No,No harsh condition recovery
EVEREADY,Not ascending,"Dec 2024, Mar 2025",24.62,"Mar 2024, Mar 2025",Not ascending,2.36,No,No harsh condition recovery
ALEMBICLTD,6.56,"Dec 2024, Mar 2025",10.28,"Mar 2024, Mar 2025",3.45,41.4,No,No harsh condition recovery
BAJAJ-AUTO,87.42,"Sep 2024, Dec 2024",0.0,"Mar 2024, TTM",Not ascending,11.22,No,No harsh condition recovery
KAYNES,134.15,"Dec 2024, Mar 2025",46.46,"Mar 2024, Mar 2025",48.87,50.8,Yes,None
MAHLIFE,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,75.47,No,No harsh condition recovery
ITC,4.92,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,6.29,No,No harsh condition recovery
TATAINVEST,-250.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",300.0,Not ascending,No,No harsh condition recovery
VOLTAMP,21.21,"Dec 2024, Mar 2025",10.09,"Mar 2024, Mar 2025",29.13,19.68,No,No harsh condition recovery
KIMS,22.97,"Dec 2024, Mar 2025",15.17,"Mar 2024, Mar 2025",3.24,21.5,No,No harsh condition recovery
FOSECOIND,28.57,"Dec 2024, Mar 2025",9.09,"Dec 2024, TTM",9.56,4.95,No,No harsh condition recovery
INDIASHLTR,12.5,"Dec 2024, Mar 2025",52.42,"Mar 2024, Mar 2025",7.57,40.48,No,No harsh condition recovery
SENORES,Not ascending,"Dec 2024, Mar 2025",30.0,"Mar 2024, Mar 2025",10.68,85.12,No,No harsh condition recovery
INDUSTOWER,Not ascending,"Dec 2024, Mar 2025",110.87,"Mar 2024, Mar 2025",2.39,5.32,No,No harsh condition recovery
INFY,Not ascending,"Dec 2024, Mar 2025",7.49,"Mar 2024, Mar 2025",Not ascending,6.06,No,No harsh condition recovery
OWAIS,0.0,"Sep 2024, Mar 2025",226.67,"Mar 2024, Mar 2025",2.86,166.25,No,No harsh condition recovery
NESTLEIND,26.46,"Dec 2024, Mar 2025",Need 2 years,N/A,15.15,Need 2 years,No,No harsh condition recovery
ONGC,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",2.84,12.15,No,No harsh condition recovery
SPAL,5.0,"Sep 2024, Dec 2024",12.16,"Mar 2024, TTM",Not ascending,18.77,No,No harsh condition recovery
BPCL,2.24,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,No harsh condition recovery
OLAELEC,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,9.8,No,No harsh condition recovery
TATACOMM,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",3.31,10.21,No,No harsh condition recovery
SAREGAMA,Not ascending,"Dec 2024, Mar 2025",2.92,"Mar 2024, Mar 2025",Not ascending,45.83,No,No harsh condition recovery
INTELLECT,105.45,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",19.02,Not ascending,No,No harsh condition recovery
GLAXO,13.85,"Dec 2024, Mar 2025",27.17,"Mar 2024, Mar 2025",2.63,8.54,No,No harsh condition recovery
ETHOSLTD,Not ascending,"Dec 2024, Mar 2025",22.03,"Mar 2024, Mar 2025",Not ascending,25.33,No,No harsh condition recovery
DHANUKA,35.42,"Dec 2024, Mar 2025",27.94,"Mar 2024, Mar 2025",Not ascending,15.69,No,No harsh condition recovery
ORIENTELEC,12.0,"Dec 2024, Mar 2025",69.05,"Mar 2024, Mar 2025",5.51,10.03,No,No harsh condition recovery
GENUSPOWER,120.0,"Sep 2024, Dec 2024",2250.0,"Mar 2024, TTM",24.02,60.28,Yes,None
CHENNPETRO,7200.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",33.45,Not ascending,No,No harsh condition recovery
NYKAA,150.0,"Sep 2024, Dec 2024",270.0,"Mar 2024, TTM",20.91,18.32,Yes,None
GOODLUCK,Not ascending,"Dec 2024, Mar 2025",10.08,"Mar 2024, Mar 2025",17.3,11.66,No,No harsh condition recovery
MHRIL,1400.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",14.9,2.81,No,No harsh condition recovery
SONACOMS,0.91,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,11.33,No,No harsh condition recovery
MAITHANALL,-80.56,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",14.44,4.52,No,No harsh condition recovery
ARVSMART,Not ascending,"Dec 2024, Mar 2025",128.57,"Mar 2024, Mar 2025",Not ascending,109.09,No,No harsh condition recovery
UGROCAP,7.89,"Dec 2024, Mar 2025",21.01,"Mar 2024, Mar 2025",8.63,29.02,No,No harsh condition recovery
AWL,Not ascending,"Dec 2024, Mar 2025",-1173.91,"Mar 2024, Mar 2025",8.26,24.21,No,No harsh condition recovery
UBL,63.64,"Dec 2024, Mar 2025",28.19,"Mar 2024, Mar 2025",16.15,9.75,No,No harsh condition recovery
BANARISUG,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,Not ascending,No,No harsh condition recovery
SPANDANA,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,8.37,No,No harsh condition recovery
VGUARD,58.18,"Dec 2024, Mar 2025",30.22,"Mar 2024, Mar 2025",21.2,14.84,No,No harsh condition recovery
SHANTIGEAR,Not ascending,"Dec 2024, Mar 2025",32.79,"Mar 2024, Mar 2025",Not ascending,12.87,No,No harsh condition recovery
VINDHYATEL,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",18.71,Not ascending,No,No harsh condition recovery
GREENPOWER,-17.86,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",20.59,Not ascending,No,No harsh condition recovery
MEDIASSIST,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",1.61,13.86,No,No harsh condition recovery
PIIND,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,4.07,No,No harsh condition recovery
REDTAPE,209.09,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",59.86,10.2,No,No harsh condition recovery
EMAMILTD,Not ascending,"Dec 2024, Mar 2025",7.61,"Mar 2024, Mar 2025",Not ascending,6.46,No,No harsh condition recovery
ASTRAL,67.33,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",20.33,3.39,No,No harsh condition recovery
AARTIIND,120.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",5.75,14.11,No,No harsh condition recovery
ARVIND,31.58,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",6.32,7.64,No,No harsh condition recovery
JUNIPER,-166.67,"Sep 2024, Dec 2024",153.33,"Mar 2024, TTM",17.21,11.49,Yes,None
INDGN,27.78,"Dec 2024, Mar 2025",16.28,"Mar 2024, Mar 2025",5.0,9.61,No,No harsh condition recovery
MASTEK,4.88,"Dec 2024, Mar 2025",15.72,"Mar 2024, Mar 2025",4.02,13.09,No,No harsh condition recovery
COSMOFIRST,71.43,"Dec 2024, Mar 2025",-1083.33,"Mar 2024, Mar 2025",6.42,11.91,No,No harsh condition recovery
SUNDARMFIN,4.36,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",5.04,15.23,No,No harsh condition recovery
DALBHARAT,1093.1,"Dec 2024, Mar 2025",3.71,"Mar 2024, Mar 2025",28.61,Not ascending,No,Did not meet improvement criteria
EXICOM,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",35.03,Not ascending,No,No harsh condition recovery
UNICHEMLAB,0.0,"Dec 2024, Mar 2025",-334.09,"Mar 2024, Mar 2025",10.13,23.81,Yes,None
CARBORUNIV,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,4.08,No,No harsh condition recovery
STAR,13.95,"Dec 2024, Mar 2025",28400.0,"Mar 2024, Mar 2025",3.12,12.69,Yes,None
CGCL,39.37,"Dec 2024, Mar 2025",71.22,"Mar 2024, Mar 2025",16.57,40.42,No,No harsh condition recovery
QUESS,20.93,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,No harsh condition recovery
ADVENZYMES,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,2.08,No,No harsh condition recovery
RAJRATAN,55.56,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",15.14,5.06,No,No harsh condition recovery
PRSMJOHNSN,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",15.43,Not ascending,No,No harsh condition recovery
UNITDSPR,Not ascending,"Dec 2024, Mar 2025",9.25,"Mar 2024, Mar 2025",Not ascending,6.61,No,No harsh condition recovery
LLOYDSME,Not ascending,"Dec 2024, Mar 2025",17.27,"Mar 2024, Mar 2025",Not ascending,3.0,No,No harsh condition recovery
RUSTOMJEE,25.0,"Dec 2024, Mar 2025",144.83,"Mar 2024, Mar 2025",26.08,Not ascending,No,Did not meet improvement criteria
DLF,Not ascending,"Dec 2024, Mar 2025",67.21,"Mar 2024, Mar 2025",104.58,24.38,No,No harsh condition recovery
TBOTEK,13.33,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",5.69,24.69,No,No harsh condition recovery
ICICIGI,Not ascending,"Dec 2024, Mar 2025",36.58,"Mar 2024, Mar 2025",Not ascending,16.96,No,No harsh condition recovery
DEVYANI,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,39.23,No,No harsh condition recovery
ITDCEM,31.65,"Dec 2024, Mar 2025",50.95,"Mar 2024, Mar 2025",10.47,17.87,Yes,None
HATHWAY,-66.67,"Dec 2024, Mar 2025",-56.06,"Mar 2024, Mar 2025",0.39,2.98,Yes,None
HATSUN,Not ascending,"Dec 2024, Mar 2025",6.15,"Mar 2024, Mar 2025",11.59,8.89,No,No harsh condition recovery
TVSSCS,Not ascending,"Sep 2024, Dec 2024",-20.0,"Mar 2024, TTM",Not ascending,7.86,No,No harsh condition recovery
CYIENTDLM,600.0,"Dec 2024, Mar 2025",27.27,"Mar 2024, Mar 2025",Not ascending,27.52,No,No harsh condition recovery
MICEL,94.05,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",281.7,73.65,No,No harsh condition recovery
UCOBANK,4.06,"Dec 2024, Mar 2025",47.61,"Mar 2024, Mar 2025",8.44,14.7,No,No harsh condition recovery
DPABHUSHAN,Not ascending,"Dec 2021, Mar 2022",51.85,"Mar 2021, Mar 2022",Not ascending,42.22,No,No harsh condition recovery
AMBER,371.43,"Dec 2024, Mar 2025",108.24,"Mar 2024, Mar 2025",76.0,48.21,Yes,None
GMMPFAUDLR,71.43,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",0.75,Not ascending,No,No harsh condition recovery
AARTIPHARM,30.43,"Dec 2024, Mar 2025",23.58,"Mar 2024, Mar 2025",4.83,14.14,No,No harsh condition recovery
ADFFOODS,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",8.16,13.46,No,No harsh condition recovery
HINDALCO,40.17,"Dec 2024, Mar 2025",64.08,"Mar 2024, Mar 2025",11.13,10.43,No,No harsh condition recovery
KIRLPNU,151.61,"Dec 2024, Mar 2025",972.22,"Mar 2016, Mar 2025",72.59,222.2,Yes,None
DATAPATTNS,202.94,"Dec 2024, Mar 2025",29.41,"Mar 2024, Mar 2025",238.46,36.15,No,No harsh condition recovery
THEMISMED,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,6.28,No,No harsh condition recovery
KFINTECH,Not ascending,"Dec 2024, Mar 2025",33.48,"Mar 2024, Mar 2025",Not ascending,30.19,No,No harsh condition recovery
BHARATRAS,Not ascending,"Sep 2024, Dec 2024",86.89,"Mar 2024, TTM",Not ascending,12.64,No,No harsh condition recovery
AUBANK,N/A,N/A,Not ascending,"Mar 2016, Mar 2017",N/A,Need 2 years,No,No harsh condition recovery
EIDPARRY,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,3.2,No,No harsh condition recovery
NEULANDLAB,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,No harsh condition recovery
ZENTEC,323.81,"Dec 2024, Mar 2025",113.27,"Mar 2024, Mar 2025",113.82,121.36,Yes,None
SAPPHIRE,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,11.1,No,No harsh condition recovery
GARFIBRES,58.97,"Dec 2024, Mar 2025",17.58,"Mar 2024, Mar 2025",23.36,16.14,No,No harsh condition recovery
UJJIVANSFB,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,11.93,No,No harsh condition recovery
UNIVCABLES,N/A,"Dec 2024, Mar 2025",100.0,"Mar 2024, Mar 2025",10.86,19.21,No,Did not meet improvement criteria
IONEXCHANG,13.89,"Sep 2024, Dec 2024",10.0,"Mar 2024, TTM",7.3,14.31,No,No harsh condition recovery
MUTHOOTFIN,3.74,"Dec 2024, Mar 2025",19.79,"Mar 2024, Mar 2025",8.32,34.21,No,No harsh condition recovery
PRESTIGE,Not ascending,"Sep 2024, Dec 2024",446.38,"Mar 2024, TTM",Not ascending,1.37,No,No harsh condition recovery
CIGNITITEC,1.82,"Dec 2024, Mar 2025",35.34,"Mar 2024, Mar 2025",2.71,10.96,No,No harsh condition recovery
LUMAXTECH,27.03,"Sep 2024, Dec 2024",15.57,"Mar 2024, TTM",7.6,15.56,No,No harsh condition recovery
IFBIND,50.0,"Sep 2024, Dec 2024",327.78,"Mar 2024, TTM",4.18,9.24,Yes,None
JKCEMENT,117.24,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",22.22,2.8,No,No harsh condition recovery
NEOGEN,78.69,"Dec 2024, Mar 2025",60.71,"Mar 2024, Mar 2025",0.69,12.59,Yes,None
NSLNISP,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",39.29,146.34,No,No harsh condition recovery
BOSCHLTD,13.21,"Sep 2024, Dec 2024",32.0,"Mar 2024, TTM",1.64,4.08,No,No harsh condition recovery
DALMIASUG,Not ascending,"Sep 2024, Dec 2024",25.0,"Mar 2024, TTM",Not ascending,19.97,No,No harsh condition recovery
NIACL,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",8.98,Not ascending,No,No harsh condition recovery
PENIND,9.52,"Sep 2024, Dec 2024",31.03,"Mar 2024, TTM",12.3,0.42,Yes,None
SHRIRAMFIN,Not ascending,"Dec 2024, Mar 2025",29.42,"Mar 2024, Mar 2025",7.07,14.97,No,No harsh condition recovery
CONCOR,Not ascending,"Dec 2024, Mar 2025",1.86,"Mar 2024, Mar 2025",3.62,2.7,No,No harsh condition recovery
BLACKBUCK,200.0,"Sep 2024, Dec 2024",-26.95,"Mar 2023, Mar 2024",15.15,68.75,Yes,None
ORIENTHOT,28.57,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",9.02,11.96,No,No harsh condition recovery
CENTRALBK,14.49,"Dec 2024, Mar 2025",47.29,"Mar 2024, Mar 2025",1.3,9.56,No,No harsh condition recovery
AHLUCONT,30.77,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,4.95,No,No harsh condition recovery
TECHNOE,Not ascending,"Sep 2024, Dec 2024",36.57,"Mar 2024, TTM",44.22,25.97,No,No harsh condition recovery
EIHOTEL,Not ascending,"Dec 2024, Mar 2025",12.29,"Mar 2024, Mar 2025",3.38,9.24,No,No harsh condition recovery
RAILTEL,134.78,"Jun 2023, Sep 2023",Not ascending,"Mar 2023, TTM",27.99,13.29,No,No harsh condition recovery
USHAMART,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",4.07,7.72,No,No harsh condition recovery
KMEW,25.0,"Sep 2024, Dec 2024",Not ascending,"Mar 2023, Mar 2024",11.54,Not ascending,No,No harsh condition recovery
IPL,Not ascending,"Sep 2024, Dec 2024",6.67,"Mar 2024, TTM",Not ascending,10.0,No,No harsh condition recovery
HONDAPOWER,177.78,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",31.86,Not ascending,No,No harsh condition recovery
ESABINDIA,N/A,N/A,24.32,"Dec 2006, Dec 2007",N/A,18.95,No,No harsh condition recovery
OIL,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",5.65,2.4,No,No harsh condition recovery
ARVINDFASN,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,8.48,No,No harsh condition recovery
AAVAS,21.37,"Dec 2023, Mar 2024",14.19,"Mar 2023, Mar 2024",7.48,25.42,No,No harsh condition recovery
KNRCON,Not ascending,"Sep 2024, Dec 2024",58.31,"Mar 2024, TTM",Not ascending,17.23,No,No harsh condition recovery
CHOLAFIN,15.81,"Dec 2024, Mar 2025",24.65,"Mar 2024, Mar 2025",4.65,34.87,No,No harsh condition recovery
WSTCSTPAPR,-150.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",2.46,Not ascending,No,No harsh condition recovery
SAILIFE,73.33,"Dec 2024, Mar 2025",146.3,"Mar 2024, Mar 2025",31.82,15.7,No,No harsh condition recovery
HSCL,9.3,"Dec 2024, Mar 2025",36.68,"Mar 2024, Mar 2025",Not ascending,10.23,No,No harsh condition recovery
TCS,0.57,"Dec 2024, Mar 2025",5.16,"Mar 2024, Mar 2025",0.79,5.99,No,No harsh condition recovery
RESPONIND,18.18,"Dec 2024, Mar 2025",33.57,"Mar 2024, Mar 2025",3.53,30.45,Yes,None
POLYMED,6.56,"Dec 2024, Mar 2025",23.74,"Mar 2024, Mar 2025",4.01,21.45,No,No harsh condition recovery
SUBROS,42.86,"Dec 2024, Mar 2025",54.76,"Mar 2024, Mar 2025",10.6,9.67,No,No harsh condition recovery
ACC,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",2.36,9.03,No,No harsh condition recovery
BERGEPAINT,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,3.09,No,No harsh condition recovery
SPECTRUM,Not ascending,"Mar 2024, Sep 2024",57.14,"Mar 2024, TTM",Not ascending,9.76,No,No harsh condition recovery
TANLA,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",2.4,2.55,No,No harsh condition recovery
KITEX,Not ascending,"Sep 2024, Dec 2024",154.76,"Mar 2024, TTM",27.78,38.74,No,No harsh condition recovery
STYLEBAAZA,Not ascending,"Dec 2024, Mar 2025",30.77,"Mar 2024, Mar 2025",Not ascending,38.13,No,No harsh condition recovery
SHILPAMED,138.46,"Sep 2024, Dec 2024",270.59,"Mar 2024, TTM",Not ascending,8.81,No,Did not meet improvement criteria
INDOTECH,23.08,"Dec 2024, Mar 2025",17.07,"Mar 2024, Mar 2025",16.38,21.43,Yes,None
UNIPARTS,Not ascending,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,Not ascending,No,No harsh condition recovery
PITTIENG,39.13,"Dec 2024, Mar 2025",97.62,"Mar 2024, Mar 2025",13.01,41.85,No,No harsh condition recovery
TASTYBITE,100.0,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",14.01,Not ascending,No,No harsh condition recovery
MANYAVAR,17.07,"Jun 2024, Sep 2024",Not ascending,"Mar 2024, TTM",11.67,Not ascending,No,No harsh condition recovery
IFCI,-2977.78,"Dec 2024, Mar 2025",47.75,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,Did not meet improvement criteria
DIXON,Not ascending,"Dec 2024, Mar 2025",114.29,"Mar 2024, Mar 2025",Not ascending,119.66,No,No harsh condition recovery
