Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
CESC,-180.7,"Dec 2024, Mar 2025",-64.92,"Mar 2024, Mar 2025",8.87,11.17,Yes,None
BSE,86.01,"Dec 2024, Mar 2025",351.49,"Mar 2024, Mar 2025",11.15,101.76,Yes,None
CENTUM,-800.0,"Dec 2024, Mar 2025",-180.0,"Mar 2024, Mar 2025",31.32,5.87,Yes,None
ASTRAMICRO,67.57,"Dec 2024, Mar 2025",30.93,"Mar 2024, Mar 2025",57.53,15.62,Yes,None
RATEGAIN,5.71,"Sep 2024, Dec 2024",23.3,"Mar 2024, TTM",0.72,12.02,Yes,None
JYOTICNC,23.08,"Sep 2024, Dec 2024",99.31,"Mar 2024, TTM",4.41,26.46,Yes,None
JCHAC,-842.86,"Dec 2024, Mar 2025",-156.9,"Mar 2024, Mar 2025",115.97,43.62,Yes,None
SANDUMA,1571.43,"Sep 2024, Dec 2024",142.95,"Mar 2024, TTM",266.15,88.98,Yes,None
SUNTECK,23.33,"Dec 2024, Mar 2025",518.75,"Mar 2024, Mar 2025",27.16,50.97,Yes,None
SANGHVIMOV,74.07,"Dec 2024, Mar 2025",41.46,"Mar 2023, Mar 2025",28.37,71.49,Yes,None
GENESYS,90.0,"Sep 2024, Dec 2024",176.47,"Mar 2024, TTM",23.61,45.45,Yes,None
JUBLPHARMA,27.93,"Dec 2024, Mar 2025",181.88,"Mar 2024, Mar 2025",5.87,7.92,Yes,None
JUBLINDS,177.78,"Mar 2024, Jun 2024",8.2,"Mar 2024, TTM",19.33,1.53,Yes,None
JYOTISTRUC,100.0,"Sep 2024, Dec 2024",94.12,"Mar 2024, TTM",28.04,2.44,Yes,None
PNB,4.16,"Dec 2024, Mar 2025",102.61,"Mar 2024, Mar 2025",1.97,13.7,Yes,None
V2RETAIL,-1100.0,"Sep 2024, Dec 2024",200.0,"Mar 2024, TTM",55.53,44.38,Yes,None
PATELENG,38.89,"Dec 2024, Mar 2025",83.46,"Mar 2024, Mar 2025",33.67,12.08,Yes,None
AXISBANK,10.77,"Dec 2024, Mar 2025",6.41,"Mar 2024, Mar 2025",0.9,12.96,Yes,None
MAZDOCK,57.4,"Sep 2024, Dec 2024",90.31,"Mar 2024, TTM",14.04,20.01,Yes,None
VEDL,0.07,"Dec 2024, Mar 2025",551.78,"Mar 2024, Mar 2025",3.43,6.43,Yes,None
RTNINDIA,-29.75,"Sep 2024, Dec 2024",-421.3,"Mar 2024, TTM",6.66,33.87,Yes,None
TI,38.0,"Dec 2024, Mar 2025",66.93,"Mar 2024, Mar 2025",19.41,2.87,Yes,None
GRSE,400.0,"Dec 2024, Mar 2025",236.84,"Mar 2024, Mar 2025",29.19,41.27,Yes,None
GRAVITA,20.41,"Dec 2024, Mar 2025",21.08,"Mar 2024, Mar 2025",4.12,22.4,Yes,None
